file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,102,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,6581.41,,6581.41,,,,,,,,
Copy of General_ledger2.csv,103,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,8074.85,,8074.85,,,,,,,,
Copy of General_ledger2.csv,104,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,1122.81,,1122.81,,,,,,,,
Copy of General_ledger2.csv,105,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,2045.25,,2045.25,,,,,,,,
Copy of General_ledger2.csv,106,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,494.81,,494.81,,,,,,,,
Copy of General_ledger2.csv,107,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,205.96,-205.96,,,,,,,,
Copy of General_ledger2.csv,108,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,494.81,-494.81,,,,,,,,
Copy of General_ledger2.csv,109,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,23.50,,23.50,,,,,,,,
Copy of General_ledger2.csv,110,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,2977.80,-2977.80,,,,,,,,
Copy of General_ledger2.csv,111,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1365.00,-1365.00,,,,,,,,
Copy of General_ledger2.csv,112,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,2675.25,-2675.25,,,,,,,,
Copy of General_ledger2.csv,113,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,2517.51,-2517.51,,,,,,,,
Copy of General_ledger2.csv,114,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,206.20,-206.20,,,,,,,,
